Cameraframes.Value,Cameraframes.Timestamp,Quinine_video,Airpuff_video,Sucrose_video,Quinine_stim
0,2025-08-14T22:09:58.0276992+01:00,0,0,0,0
1,2025-08-14T22:09:58.0410112+01:00,0,0,0,0
2,2025-08-14T22:09:58.0560896+01:00,0,0,0,0
3,2025-08-14T22:09:58.0710912+01:00,0,0,0,0
4,2025-08-14T22:09:58.0860928+01:00,0,0,0,0
5,2025-08-14T22:09:58.1014272+01:00,0,0,0,0
6,2025-08-14T22:09:58.1177728+01:00,0,0,0,0
7,2025-08-14T22:09:58.1311488+01:00,0,0,0,0
8,2025-08-14T22:09:58.1481728+01:00,0,0,0,0
9,2025-08-14T22:09:58.1612032+01:00,0,0,0,0
10,2025-08-14T22:09:58.1762944+01:00,0,0,0,0
11,2025-08-14T22:09:58.1913216+01:00,0,0,0,0
12,2025-08-14T22:09:58.2069376+01:00,0,0,0,0
13,2025-08-14T22:09:58.2214016+01:00,0,0,0,0
14,2025-08-14T22:09:58.2364544+01:00,0,0,0,0
15,2025-08-14T22:09:58.2520832+01:00,0,0,0,0
16,2025-08-14T22:09:58.2664832+01:00,0,0,0,0
17,2025-08-14T22:09:58.2819968+01:00,0,0,0,0
18,2025-08-14T22:09:58.2967296+01:00,0,0,0,0
19,2025-08-14T22:09:58.3116544+01:00,0,0,0,0
20,2025-08-14T22:09:58.3267328+01:00,0,0,0,0
21,2025-08-14T22:09:58.3417344+01:00,0,0,0,0
22,2025-08-14T22:09:58.3573504+01:00,0,0,0,0
23,2025-08-14T22:09:58.3718656+01:00,0,0,0,0
24,2025-08-14T22:09:58.3869312+01:00,0,0,0,0
25,2025-08-14T22:09:58.4019200+01:00,0,0,0,0
26,2025-08-14T22:09:58.4173696+01:00,0,0,0,0
27,2025-08-14T22:09:58.4320000+01:00,0,0,0,0
28,2025-08-14T22:09:58.4470912+01:00,0,0,0,0
29,2025-08-14T22:09:58.4624384+01:00,0,0,0,0
30,2025-08-14T22:09:58.4771328+01:00,0,0,0,0
31,2025-08-14T22:09:58.4924672+01:00,0,0,0,0
32,2025-08-14T22:09:58.5073664+01:00,0,0,0,0
33,2025-08-14T22:09:58.5223040+01:00,0,0,0,0
34,2025-08-14T22:09:58.5373568+01:00,0,0,0,0
35,2025-08-14T22:09:58.5524864+01:00,0,0,0,0
36,2025-08-14T22:09:58.5679104+01:00,0,0,0,0
37,2025-08-14T22:09:58.5824896+01:00,0,0,0,0
38,2025-08-14T22:09:58.5975424+01:00,0,0,0,0
39,2025-08-14T22:09:58.6126464+01:00,0,0,0,0
40,2025-08-14T22:09:58.6283136+01:00,0,0,0,0
41,2025-08-14T22:09:58.6425472+01:00,0,0,0,0
42,2025-08-14T22:09:58.6576000+01:00,0,0,0,0
43,2025-08-14T22:09:58.6726656+01:00,0,0,0,0
44,2025-08-14T22:09:58.6882304+01:00,0,0,0,0
45,2025-08-14T22:09:58.7027072+01:00,0,0,0,0
46,2025-08-14T22:09:58.7177216+01:00,0,0,0,0
47,2025-08-14T22:09:58.7328640+01:00,0,0,0,0
48,2025-08-14T22:09:58.7483776+01:00,0,0,0,0
49,2025-08-14T22:09:58.7628544+01:00,0,0,0,0
50,2025-08-14T22:09:58.7779328+01:00,0,0,0,0
51,2025-08-14T22:09:58.7933824+01:00,0,0,0,0
52,2025-08-14T22:09:58.8080256+01:00,0,0,0,0
53,2025-08-14T22:09:58.8236032+01:00,0,0,0,0
54,2025-08-14T22:09:58.8382720+01:00,0,0,0,0
55,2025-08-14T22:09:58.8531200+01:00,0,0,0,0
56,2025-08-14T22:09:58.8681600+01:00,0,0,0,0
57,2025-08-14T22:09:58.8832640+01:00,0,0,0,0
58,2025-08-14T22:09:58.8988160+01:00,0,0,0,0
59,2025-08-14T22:09:58.9133184+01:00,0,0,0,0
60,2025-08-14T22:09:58.9284736+01:00,0,0,0,0
61,2025-08-14T22:09:58.9434112+01:00,0,0,0,0
62,2025-08-14T22:09:58.9588864+01:00,0,0,0,0
63,2025-08-14T22:09:58.9735040+01:00,0,0,0,0
64,2025-08-14T22:09:58.9885312+01:00,0,0,0,0
65,2025-08-14T22:09:59.0038912+01:00,0,0,0,0
66,2025-08-14T22:09:59.0186496+01:00,0,0,0,0
67,2025-08-14T22:09:59.0344832+01:00,0,0,0,0
